id,name,lastname,price,flycode,typePassenger,statusFlight
124,Pen,Ramos,18000,IB0800A,EconomyClass,Aterrizado
125,Esteban,Gonzalez,15000,IB0800A,EconomyClass,Aterrizado
126,Fonzie,Munoz,15000,IB0800A,EconomyClass,Aterrizado
127,Cindelyn,Rojas,12000,IB0800A,EconomyClass,Aterrizado
141,Coreen,Araya,18000,IB0800A,EconomyClass,Aterrizado
142,Tanya,Flores,30000,IB0800A,EconomyClass,Aterrizado
143,Jenna,Espinoza,25000,IB0800A,EconomyClass,Aterrizado
144,Flora,Valenzuela,33000,IB0800A,EconomyClass,Aterrizado
145,Dianna,Castillo,20000,IB0800A,EconomyClass,Aterrizado
146,Armand,Tapia,15000,IB0800A,EconomyClass,Aterrizado
147,Gustie,Reyes,42000,IB0800A,EconomyClass,Aterrizado
148,Benton,Gutierrez,12000,IB0800A,EconomyClass,Aterrizado
149,Lena,Castro,25000,IB0800A,EconomyClass,Aterrizado
150,Dot,Pizarro,18000,IB0800A,EconomyClass,Aterrizado
151,Meryl,Alvarez,12000,IB0800A,EconomyClass,Aterrizado
152,Babbie,Vasquez,15000,IB0800A,EconomyClass,Aterrizado
153,Byram,Sanchez,42000,IB0800A,EconomyClass,Aterrizado
154,Bertine,Fernandez,25000,IB0800A,EconomyClass,Aterrizado
155,Osbert,Ramirez,42000,IB0800A,EconomyClass,Aterrizado
156,Tanny,Carrasco,42000,IB0800A,EconomyClass,Aterrizado
157,Maryjo,Gomez,12000,IB0800A,EconomyClass,Aterrizado
158,Clarie,Cortes,42000,IB0800A,EconomyClass,Aterrizado
159,Kipp,Herrera,15000,IB0800A,EconomyClass,Aterrizado
160,Leonie,Nunez,50000,IB0800A,EconomyClass,Aterrizado
161,Ferdie,Jara,15000,IB0800A,EconomyClass,Aterrizado
162,Ofella,Vergara,50000,IB0800A,EconomyClass,Aterrizado
163,Pascale,Rivera,15000,IB0800A,EconomyClass,Aterrizado
164,Cathrin,Figueroa,30000,IB0800A,EconomyClass,Aterrizado
