id,name,lastname,price,flycode,typePassenger,statusFlight
42,Ame,Garcia,50000,BA2491A,ExecutiveClass,Aterrizado
43,Bradney,Miranda,25000,BA2491A,ExecutiveClass,Aterrizado
44,Margarete,Bravo,50000,BA2491A,ExecutiveClass,Aterrizado
74,Cristie,Vidal,25000,IB0800A,ExecutiveClass,Aterrizado
75,Solomon,Salinas,10000,IB0800A,ExecutiveClass,Aterrizado
76,Nananne,Zuniga,33000,IB0800A,ExecutiveClass,Aterrizado
77,Sacha,Pena,25000,IB0800A,ExecutiveClass,Aterrizado
78,Morse,Godoy,25000,IB0800A,ExecutiveClass,Aterrizado
79,Roland,Lagos,25000,IB0800A,ExecutiveClass,Aterrizado
80,Jesselyn,Maldonado,30000,IB0800A,ExecutiveClass,Aterrizado
81,Kylila,Bustos,12000,IB0800A,ExecutiveClass,Aterrizado
82,Kendre,Medina,25000,IB0800A,ExecutiveClass,Aterrizado
83,Lesya,Pino,15000,IB0800A,ExecutiveClass,Aterrizado
84,Tatiania,Palma,20000,IB0800A,ExecutiveClass,Aterrizado
85,Trenton,Moreno,12000,IB0800A,ExecutiveClass,Aterrizado
88,George,Navarrete,30000,MM0987B,ExecutiveClass,En Horario
89,Guenevere,Saez,30000,MM0987B,ExecutiveClass,En Horario
90,Margaretha,Alvarado,10000,MM0987B,ExecutiveClass,En Horario
91,Sully,Donoso,15000,MM0987B,ExecutiveClass,En Horario
92,Lonni,Poblete,50000,MM0987B,ExecutiveClass,En Horario
93,Nicky,Bustamante,42000,MM0987B,ExecutiveClass,En Horario
94,My,Toro,18000,MM0987B,ExecutiveClass,En Horario
95,Kyrstin,Ortega,37000,IB0800A,ExecutiveClass,Aterrizado
96,Martino,Venegas,15000,IB0800A,ExecutiveClass,Aterrizado
97,Marcellus,Guerrero,50000,IB0800A,ExecutiveClass,Aterrizado
98,Jacquelin,Mendoza,30000,IB0800A,ExecutiveClass,Aterrizado
99,Aleda,Farias,50000,IB0800A,ExecutiveClass,Aterrizado
100,Georgeta,San Martin,10000,IB0800A,ExecutiveClass,Aterrizado
