id,name,lastname,price,flycode,typePassenger,statusFlight
124,Pen,Ramos,18000,IB0800A,EconomyClass,Aterrizado
125,Esteban,Gonzalez,15000,IB0800A,EconomyClass,Aterrizado
126,Fonzie,Munoz,15000,IB0800A,EconomyClass,Aterrizado
127,Cindelyn,Rojas,12000,IB0800A,EconomyClass,Aterrizado
128,Zacharie,Diaz,30000,BA2491A,ExecutiveClass,Aterrizado
129,Vina,Perez,42000,BA2491A,ExecutiveClass,Aterrizado
130,Omero,Soto,10000,BA2491A,ExecutiveClass,Aterrizado
131,Tom,Contreras,33000,BA2491A,ExecutiveClass,Aterrizado
132,Dante,Silva,30000,BA2491A,ExecutiveClass,Aterrizado
133,Cordy,Martinez,18000,BA2491A,ExecutiveClass,Aterrizado
134,Stephenie,Sepulveda,50000,BA2491A,ExecutiveClass,Aterrizado
135,Dunstan,Morales,20000,BA2491A,ExecutiveClass,Aterrizado
136,Gideon,Rodriguez,15000,BA2491A,ExecutiveClass,Aterrizado
137,Johnette,Lopez,10000,BA2491A,ExecutiveClass,Aterrizado
138,Brynn,Fuentes,50000,BA2491A,ExecutiveClass,Aterrizado
139,Yankee,Hernandez,42000,BA2491A,ExecutiveClass,Aterrizado
140,Corbin,Torres,42000,BA2491A,ExecutiveClass,Aterrizado
141,Coreen,Araya,18000,IB0800A,EconomyClass,Aterrizado
142,Tanya,Flores,30000,IB0800A,EconomyClass,Aterrizado
143,Jenna,Espinoza,25000,IB0800A,EconomyClass,Aterrizado
144,Flora,Valenzuela,33000,IB0800A,EconomyClass,Aterrizado
145,Dianna,Castillo,20000,IB0800A,EconomyClass,Aterrizado
146,Armand,Tapia,15000,IB0800A,EconomyClass,Aterrizado
147,Gustie,Reyes,42000,IB0800A,EconomyClass,Aterrizado
148,Benton,Gutierrez,12000,IB0800A,EconomyClass,Aterrizado
149,Lena,Castro,25000,IB0800A,EconomyClass,Aterrizado
150,Dot,Pizarro,18000,IB0800A,EconomyClass,Aterrizado
151,Meryl,Alvarez,12000,IB0800A,EconomyClass,Aterrizado
152,Babbie,Vasquez,15000,IB0800A,EconomyClass,Aterrizado
